seq,x,y
56,3.991446220469925,-4.473741578599629
57,4.000496513236385,-4.469487428304092
58,4.0088766400022,-4.464030885457305
59,4.016375419131464,-4.457415285019238
60,4.015981132030902,-4.44742321981289
61,4.015182792204996,-4.437454958316948
62,4.016737967951485,-4.427576418498688
63,4.018645926893214,-4.417760134538412
64,4.018034354641259,-4.407779055659944
65,4.016996757008201,-4.397832766819761
66,4.018173514794398,-4.387902347119848
67,4.019654227651927,-4.378012820973709
68,4.01496184494431,-4.369181644413288
69,4.008111259159932,-4.361897709029222
70,4.012426444610355,-4.352876713137107
71,4.021399833081659,-4.34846204038422
72,4.02968596570895,-4.342864506329647
73,4.037068778043931,-4.336119511363222
74,4.0374594030352,-4.326126835805326
75,4.037986746773413,-4.316140874114467
76,4.03822356317437,-4.306143926095729
77,4.038507986996137,-4.296148198780088
78,4.038656912774059,-4.286148809355154
79,4.038803397145784,-4.276150030281769
80,4.038803397145784,-4.266150030505287
81,4.038612967462541,-4.256151861783451
82,4.039505301426971,-4.246191534857644
83,4.040639334604748,-4.23625623234534
84,4.040501395154706,-4.226256842920407
85,4.040185233052398,-4.216262336307864
86,4.040505057263999,-4.206267219343772
87,4.040986014284499,-4.196278816246718
88,4.040829764287992,-4.186280037173333
89,4.040506277967097,-4.17628553056079
90,4.040791922491962,-4.166289192893601
91,4.041233817013335,-4.1562989587419
92,4.04111907092215,-4.146299569316966
93,4.04097502795662,-4.136300790243581
94,4.040899344364561,-4.1263007904670985
95,4.0408126744446236,-4.116301401042165
96,4.0407699498362035,-4.106301401265682
97,4.040738211555663,-4.0963014014892
98,4.040783377570278,-4.086301401712717
99,4.040967703738033,-4.076303232990881
100,4.04052092640427,-4.066313609190729
101,4.039977713525786,-4.056328257851419
102,4.039725027984559,-4.046331309832681
103,4.039506522130068,-4.036333751462394
104,4.038604422540857,-4.0263746452396845
105,4.037536307330356,-4.016431408157246
106,4.03689299679786,-4.006452160333424
107,4.0362057409538465,-3.996475964267347
108,4.036230155015801,-3.9864759644908645
109,4.036249686265364,-3.976475964714382
110,4.036261893296341,-3.9664759649378993
111,4.036263113999439,-3.9564759651614168
112,4.036246024156071,-3.946475965384934
113,4.0362057409538465,-3.9364759656084516
114,4.0361239538463,-3.926476576183518
115,4.035981131583867,-3.916477797110133
116,4.0363131628264455,-3.90648329049759
117,4.036487723369419,-3.8964845114242053
118,4.031537772308184,-3.8877961571262176
